Aircraft Type,Count
Boeing 737-700 Passenger,41928
Boeing 737-300 Passenger,22095
Airbus A320,16758
Boeing 737-800 Passenger,8594
Boeing 737-800 (winglets) Passenger,7939
Airbus A319,7429
Embraer RJ140,7144
Embraer 120 Brasilia,6344
Canadair Regional Jet,5370
Boeing 757-200 Passenger,4930
Boeing (douglas) MD-80,4359
Boeing 757 (Passenger),4331
Airbus A321,4297
Boeing 737-500 Passenger,3759
Canadair Regional Jet 700,3086
Boeing 737-900 Passenger,2936
Boeing 737-400 Passenger,2191
Boeing (douglas) MD-83,1638
Canadair Regional Jet 900,1338
Boeing 767-300 Passenger,1284
Embraer 190,1116
Boeing (douglas) MD-90,591
Airbus A318,486
Boeing 777 Passenger,424
Boeing 737-700 (winglets) Passenger,424
Airbus A318 /319 /320 /321,269
Boeing 757-300 Passenger,48
Boeing 767-200 Passenger,36
Embraer 170,16
Boeing 767-400 Passenger,2
Boeing 737-600 Passenger,2